あ
あーけーど アーケード
どうぶつずかん 動物図鑑
とうふのかど 豆腐のカド
とうみん 冬眠
どうめい 同盟
とうめいかん 透明感
とうめいにんげん 透明人間
とうりゅうもん 登竜門
どうろ 道路
とうろくしょうひょう 登録商標
どうわ 童話
トースト
ドーナツ
どーぴんぐ ドーピング
とおぼえ 遠吠え
とおんきごう ト音記号
ドカベン
どくえんかい 独演会
どくきのこ 毒キノコ
どくさいしゃ 独裁者
とくしゅうぺーじ 特集ページ
どくしょかんそうぶん 読書感想文
どくしょしゅうかん 読書週間
どくしんじゅつ 読心術
どくしんりょう 独身寮
どくせんきんしほう 独占禁止法
とくだね 特ダネ
どくだみ
どくばり 毒針
とくべつげすと 特別ゲスト
とけいだい 時計台
どげざ 土下座
とこなつ 常夏
とこや 床屋
ところてん
とさけん 土佐犬
とざんか 登山家
とざんるーと 登山ルート
としあけ 年明け
どしゃ降り
ドジョウ
としょかん 図書館
どせい 土星
とだな 戸棚
トタン
どっきりカメラ
ドッジボール
とつぜんへんい 突然変異
とっとりさきゅう 鳥取砂丘
とっぱこう 突破口
トップに躍り出る
トナカイ
どなり声
トパーズ
トビウオ
とびこみえいぎょう 飛び込み営業
どひょう 土俵
とびら
とびらがしまります 扉が閉まります
トマトジュース
ドミノ倒し
トムヤムクン
とむらいがっせん 弔い合戦
ともぐい 共食い
とものかい 友の会
どようび 土曜日
とよとみひでよし 豊臣秀吉
とら 虎
トライアングル
ドライヤー
ドラゴン
トラック野郎
とらのまき 虎の巻
トラブルメイカー
トランク
トランプ
トランペット
トランポリン
とりあつかいせつめいしょ 取扱説明書
とりい 鳥居
トリガー
とりしらべ 取り調べ
トリック
とりのす 鳥の巣
ドリフト走行
ドリブル
トリプルボギー
とりモチ
どりる ドリル
とるこ トルコ
どろじあい 泥仕合
どろだんご 泥だんご
ドロドロ
とろび とろ火
トロフィー
どろぼう
とろろ芋
トロンボーン
とんかつ
とんじる 豚汁
とんち
とんとんびょうし とんとん拍子
トンネル
トンボ
ドン引き
ナイター
ナイチンゲール
ナイル川
ながいものにはまかれろ 長いものには巻かれろ
ながぐつ 長靴
ながしだい 流し台
なかたがい 仲たがい
なかなおり 仲直り
ながれぼし 流れ星
ながれもの 流れ者
なきっつらにはち 泣きっ面に蜂
なきむし 泣き虫
なぐさめ
なくてななくせ なくて七癖
なぐられや 殴られ屋
なげせん 投げ銭
なげやり 投げやり
なごり
なし 梨
なしくずし なし崩し
なしのつぶて
なぞなぞ
ナタデココ
なつく 懐く
なづけおや 名付け親
なっとう 納豆
なっとうまき 納豆巻き
なつのだいさんかっけい 夏の大三角形
なつのよのゆめ 夏の夜の夢
なつやさい 夏野菜
なつやすみ 夏休み
なにわぶし 浪花節
なふだ 名札
なまがわき 生乾き
なまぐさぼうず 生臭坊主
なまくりーむ 生クリーム
ナマケモノ
ナマズ
なまはげ
なみだ 涙
ならべかえ 並べ替え
なりきん 成り金
なれなれしい
なわとび 縄跳び
ナン
なんきょく 南極
なんきんじょう 南京錠
なんこう 軟膏
なんこつ 軟骨
なんでもや 何でも屋
にいがたけん 新潟県
にえゆ 煮え湯
におい
にかいだて 2階建て
にがおえ 似顔絵
にがていしき 苦手意識
にがわらい 苦笑い
にきび
にぎりめし 握り飯
にくじゃが 肉じゃが
にくしょくどうぶつ 肉食動物
にくまん 肉まん
にくをきらせてほねをたつ 肉を切らせて骨を断つ
ニコチン
にごり
にさんかたんそ 二酸化炭素
にじ 虹
にしきごい 錦ゴイ
にしび 西日
にじみ
にじゅうよじかん 24時間
ニス
にせさつ 偽札
にちようび 日曜日
にっこう 日光
にっしょく 日食
にっしんげっぽ 日進月歩
にどあることはさんどある 二度あることは三度ある
にとうしん 2頭身
にどね 二度寝
ににんばおり 二人羽織
にのうで 二の腕
にほんかおく 日本家屋
にほんぎんこう 日本銀行
ニホンザル
にほんしゅ 日本酒
にほんとう 日本刀
にほんばし 日本橋
にほんれっとう 日本列島
にまいじた 二枚舌
にもつ 荷物
にゃんこせんせい ニャンコ先生
にゅういんかんじゃ 入院患者
にゅうがくしき 入学式
にゅうし 乳歯
にゅうじょうけん 入場券
にゅーすばんぐみ ニュース番組
にゅうどうぐも 入道雲
にゅうもんしょ 入門書
にゅうよくざい 入浴剤
にるいだ 二塁打
にわか雨
ニワトリ
にんきばくはつ 人気爆発
にんぎょ 人魚
にんぎょのいえ 人形の家
にんげんかんさつ 人間観察
にんげんてき 人間的
にんじゃ 忍者
にんてんどう 任天堂
にんにく
ぬか
ぬきうちてすと 抜き打ちテスト
ぬのきれ 布切れ
ぬま 沼
ぬらりひょん
ぬりえ 塗り絵
ぬりかべ 塗りかべ
ねあげ 値上げ
ねおち 寝落ち
ねがいごと 願いごと
ネクタイ
ネジ
ねずみ ネズミ
ねずみとり ねずみ捕り
ねたきり 寝たきり
ネックレス
ねっこ 根っこ
ネッシー
ねっしせん 熱視線
ねったい 熱帯
ねったいぎょ 熱帯魚
ねっとわーく ネットワーク
ねつれつかんげい 熱烈歓迎
ねばりけ 粘り気
ねびき 値引き
ねほりはほり 根ほり葉ほり
ねむれるしし 眠れる獅子
ねんぐ 年貢
ねんざ
ねんどうりき 念動力
ねんぶつ 念仏
ねんまつじゃんぼ 年末ジャンボ
ねんりょうたんく 燃料タンク
ねんれいせいげん 年齢制限
のいずおん ノイズ音
のうぎょう 農業
のうしゅくかんげんかじゅう 濃縮還元果汁
のうないまやく 脳内麻薬
のうみそ 脳みそ
のうめん 能面
のーといえる NOと言える
ノーマーク
のこぎり
のぞき窓
のっくあうと ノックアウト
のっぺらぼう
のどがかわく のどが渇く
のどからてがでる のどから手が出る
のどぼとけ
のぼせる
のみかい 飲み会
のり
のりかかったふね 乗りかかった船
のりしろ
ノルウェー
のろい 呪い
のろし
のんびりや のんびり屋
バー
バーコード
バーチャルリアリティ
パーティー
ハードウェア
ハードディスク
ハードル
バーベキュー
バーベル
バールのようなもの
はい 肺
はいいろ 灰色
はいえん 肺炎
バイオリズム
バイオリン
はいかつりょう 肺活量
バイキング
はいく 俳句
はいしゃ 歯医者
ばいしんいん 陪審員
はいすいこう 排水溝
ハイスコア
パイナップル
ばいばいげーむ 倍々ゲーム
バイパス
ハイヒール
ハイビスカス
パイプオルガン
パイプライン
バイブレーション
はいゆう 俳優
バウムクーヘン
ハエ
はおり 羽織
はかせ 博士
はがた 歯型
はがね
はかば 墓場
はかりうり 量り売り
はぎしり 歯ぎしり
バグ
はくい 白衣
はくさい 白菜
はくしゅ 拍手
はくちょう 白鳥
はくちょうのみずうみ 白鳥の湖
バクテリオファージ
ばくはつ 爆発
はくはつさんぜんじょう 白髪三千丈
はくぶつかん 博物館
はくまい 白米
はぐるま 歯車
はぐれ雲
はげたか ハゲタカ
ばけねこ 化け猫
はごいた 羽子板
はこづめ 箱詰め
はこぼれ 刃こぼれ
ハコ乗り
はさん 破産
はじ 恥
はしりはばとび 走り幅跳び
バス
バスケットボール
バスタオル
バスタオル
はすのは 蓮の葉
パスポート
パスワード
パセリ
パソコン教室
バター
はだかいっかん 裸一貫
はだざわり 肌ざわり
はたしじょう 果たし状
はちがつ 八月
はちじだよ 8時だよ
はちじょうじま 八丈島
ハチドリ
はちのす 蜂の巣
はちまき
はちみつ
はちゅうるい 爬虫類
パチンコ玉
はついく 発育
はつおんきごう 発音記号
ハッカー
バックアップ
バックドロップ
パックマン
バックミラー
パッケージ
はっけよいのこった
はつこい 初恋
はっこうしょくひん 発酵食品
はっこうだいおーど 発光ダイオード
はっしんげん 発信源
バッター
はったり
はつとうじょう 初登場
はつねつ 発熱
はっぱ 葉っぱ
ハッピーセット
ハッピーバースデー
はつひので 初日の出
バッファロー
はっぽうさい 八宝菜
はっぽうすちろーる 発泡スチロール
はっぽうびじん 八方美人
はっぽうふさがり 八方ふさがり
はつめいか 発明家
はつもうで 初詣
はつゆき 初雪
パトカー
はとさぶれー 鳩サブレー
バドミントン
ばとんたっち バトンタッチ
ハト時計
はなうた 鼻歌
はなうらない 花占い
はなことば 花ことば
はなさかじじい 花咲かじじい
はなたかだか 鼻高々
はなぢ 鼻血
はなちょうちん 鼻ちょうちん
はなづまり 鼻づまり
バナナ
はなび 花火
はなふだ 花札
はなみ 花見
はなみず 鼻水
はならび 歯並び
バニラ
はにわ
ばね
ハネムーン
はは 母
パパイヤ
ははをたずねて 母をたずねて
ババ抜き
パフェ
はぶらし 歯ブラシ
バブル経済
バベルの塔
はまき 葉巻
ハムレット
ハモり
はやいものがち 早い者勝ち
はやおくり 早送り
はやぐい 早食い
はやくちことば 早口言葉
はやし 林
はやとちり 早とちり
バラ
はらどけい 腹時計
バラバラ
パラボラアンテナ
はらまき 腹巻き
パラメータ
バランス
はらんばんじょう 波瀾万丈
はりがね 針金
バリカン
ばりき 馬力
ハリケーン
はりこみ 張り込み
ばりぞうごん 罵詈雑言
バルサン
バルト海
はるまき 春巻き
パレード
バレーボール
ハレー彗星
はれおとこ 晴れ男
はれぎ 晴れ着
はれときどきくもり 晴れ時々曇り
はれぶたい 晴れ舞台
バレンタインデー
はろー HELLO
バロック
パワーアップ
ぱわーすぽっと パワースポット
ハワイ旅行
はんおん 半音
ハンガー
ハンカチ
はんがんびいき 判官びいき
はんきょう 反響
はんぎょじん 半魚人
パンク
ハングリー精神
はんげき 反撃
はんけつ 判決
はんげつ 半月
はんごう 飯ごう
はんこうき 反抗期
はんこうせいめい 犯行声明
はんさよう 反作用
パンジー
バンジージャンプ
はんしはんしょう 半死半生
はんじゅうりょく 反重力
はんずぼん 半ズボン
ばんそうこう 絆創膏
はんそく 反則
パンダ
はんたいいけん 反対意見
はんだづけ
パンチ
パンチカード
ばんちょう 番長
パンツ
はんとう 半島
ばんとう 番頭
はんどうたい 半導体
はんとうめい 半透明
ハンドサイン
パントマイム
はんにゃしんぎょう 般若心経
ばんねん 晩年
ハンバーガー
ハンバーグ
はんぱない 半端ない
はんぷくよことび 反復横跳び
はんぶっしつ 反物質
ばんゆういんりょく 万有引力
ピアノ
ビーカー
びーじーえむ BGM
ピーターパン
ぴーでぃーえふ PDF
ビートルズ
ピーナッツ
ビーバー
ビーフジャーキー
ピーマン
ビール
ビール純粋令
ヒーロー
ひうちいし 火打ち石
ヒエラルキー
ピエロ
ひがいしゃ 被害者
ひかく 比較
ひかげ 日陰
ピカソ
ピカピカ
ひがみ
ひかりふぁいばー 光ファイバー
ひがわりていしょく 日替わり定食
ひかんてき 悲観的
ひがんばな 彼岸花
ひきがたり 弾き語り
ひきざん 引き算
ひきだし 引き出し
ひきちぎる 引きちぎる
ビキニ
ひきわけ 引き分け
ひき肉
ピクセル
ピクニック
ピクルス
ひげ
ひこうき 飛行機
ひこくせき 被告席
ピコピコハンマー
ピザ
ピサの斜塔
ヒザ蹴り
ひじき
ビジネス
ひしゃ 飛車
ひしゃかくおち 飛車角落ち
ひじょうぐち 非常口
ひじょうしょく 非常食
びじんはくめい 美人薄命
ビスケット
ピスタチオ
ヒステリー
びせいぶつ 微生物
ピタゴラス
ひだるま 火だるま
ひっかき傷
ひっきたい 筆記体
ピックアップ
びっぐばん ビッグバン
びっくり仰天
ひづけへんこうせん 日付変更線
ピッケル
ひっこし 引越し
ひっこしぎょうしゃ 引越し業者
ひっさつしごとにん 必殺仕事人
ひっさつわざ 必殺技
ヒツジ
ひつじかい 羊飼い
ひっしょうきがん 必勝祈願
ひっせき 筆跡
ヒッチハイク
ピットイン
ヒットポイント
ヒップホップ
ひつようあく 必要悪
ひつようははつめいのはは 必要は発明の母
びでおはんてい ビデオ判定
ひとう 秘湯
ひとつめこぞう 一つ目小僧
ひとなみ 人並み
ひとますもどる 1マス戻る
ひとみ 瞳
ひとりたび 一人旅
ひとりにしてくれ 一人にしてくれ
ひとりぼっち
ひなんばしょ 避難場所
ひにあぶらをそそぐ 火に油をそそぐ
ビニールハウス
ビニールひも
ひにく 皮肉
ピノキオ
ひのたま 火の玉
ひのはつめい 火の発明
ひばいひん 非売品
ひばな 火花
ひびわれ ヒビ割れ
びぶん 微分
ひまじん 暇人
ひまつぶし 暇つぶし
ひまつり 火祭り
ひまわり
ひみこ 卑弥呼
ひみつきち 秘密基地
ひみつけっしゃ 秘密結社
ひやあせ 冷や汗
ひゃくえんだま 百円玉
ひゃくとうばん 110番
ひゃくにんいっしゅ 百人一首
ひゃくはちじゅうど 180度
ひゃくまんえん 百万円
ひゃくめーとるそう 100m走
びゃくや 白夜
ひやけどめ 日焼け止め
ひやしちゅうか 冷やし中華
ひゃっかじてん 百科事典
ひゃっぱつひゃくちゅう 百発百中
ひやめし 冷や飯
ひややっこ 冷ややっこ
ヒョウ
びょういん 病院
ひょうが 氷河
ひょうけいさん 表計算
ひょうけいほうもん 表敬訪問
びょうしん 秒針
びょうぶ
ひょうろんか 評論家
ひょっこりひょうたん島
ひよどり越え
ぴよぴよ
ぴょん吉
ひらてうち 平手打ち
ピラミッド
ヒラメ
ひらめき
ヒラ社員
ひりょう 肥料
ひるね 昼寝
ピンク
ビンゴ
びんせん 便せん
ピンポイント
びんぼうひまなし 貧乏暇なし
ピンボール
ピンポン
ファイアウォール
ファイティングポーズ
ファイナルファンタジー
ファインプレー
ファックス
ファミコン
ファンクラブ
ファンファーレ
フィギュアスケート
ぶいさいん Vサイン
フィレンツェ
フィンランド
ふうあつ 風圧
ふういん 封印
ブーイング
フーガ
ふうしが 風刺画
ふうじて 封じ手
ふうじんらいじんず 風神雷神図
ふうすい 風水
ブービー賞
ふうふいわ 夫婦岩
ブーメラン
プーヤン
ふうりょくはつでん 風力発電
ふうりん 風鈴
プール
フェアトレード
フェイント
フェリーボート
フェンシング
フェンス
フォークダンス
フォーマット
フォーラム
フォトジェニック
フォント
ふかい 不快
ふかづめ 深爪
ふきかえ 吹き替え
ぶきしょうにん 武器商人
ふきだまり 吹きだまり
ふきょうわおん 不協和音
ふきん
ふくし 福祉
ふくしゃちょう 副社長
ふぐたいてん 不倶戴天
ふくみ 含み
ふくめんれすらー 覆面レスラー
フクロウ
ふくろだたき 袋だたき
ふくわじゅつ 腹話術
ふくわらい 福笑い
ブザー
ふざいつうち 不在通知
ぶし 武士
ふしぎなおどり 不思議な踊り
ふじさん 富士山
ふじちゃく 不時着
ふしちょう 不死鳥
フジツボ
ふじのやまい 不治の病
ふせん 付せん
ふせんしょう 不戦勝
ぶた 豚
ぶたいいしょう 舞台衣装
ふたご
ブタゴリラ
ふたりのり 二人乗り
プチトマト
ぶちょう 部長
ふつうめんきょ 普通免許
ふっきれる 吹っ切れる
ふっきん 腹筋
ぶっこしゃ 物故者
ぶつだん 仏壇
ぶつぶつこうかん 物々交換
ぶつりがく 物理学
ぶどうかん 武道館
ふとん
フナ
ふね 船
ふねのはかば 船の墓場
ふはいせいじ 腐敗政治
ふびょうどうじょうやく 不平等条約
ふぶき 吹雪
ふみたおし 踏み倒し
ふみんしょう 不眠症
ふゆしょうぐん 冬将軍
ふようど 腐葉土
ぷよぷよ
フライドポテト
プライバシー
ブラインド
フラグ
ブラジル
プラスチック
プラスドライバー
プラズマ
プラセボ効果
フラダンス
ブラックバス
ブラックホール
フラッシュ
プラトニックラブ
プラトン
フラミンゴ
プラモデル
フランケンシュタイン
ぶらんこ
フランス革命
フランス料理
ブランデー
フリーダイヤル
フリーマーケット
フリー素材
プリクラ
ふりこ 振り子
フリスク
プリズム
プリン
プリンター
ぶり大根
ブルーシート
フルート
フルスイング
プルトップ
フルハウス
フルパワー
ふるほん 古本
ブレイクスルー
ブレイクダンス
ぶれいもの 無礼者
ブレーキ
ブレーメンの音楽隊
ブレーンバスター
プレステ
ブレスレット
プレゼンテーション
プレゼント
プレハブ
プレミア価格
ふろ 風呂
ふろうしょとく 不労所得
ブログ
プログラマー
プロジェクター
ブロック崩し
ブロッコリー
フロッピーディスク
プロの犯行
プロペラ
ふんいき 雰囲気
ふんか 噴火
ぶんがくしょう 文学賞
ぶんがくぶ 文学部
ふんぎり 踏ん切り
ふんすい 噴水
ぶんすう 分数
ふんそうちいき 紛争地域
ふんどう 分銅
ぶんどき 分度器
ふんどし
ぶんぼうぐ 文房具
ぶんるいほう 分類法
へいあんきょう 平安京
へいきんしんちょう 平均身長
へいきんだい 平均台
へいこうせかい 平行世界
へいこうぼう 平行棒
へいじつ 平日
ペイズリー模様
へいほうこん 平方根
へいぼん 平凡
ベーゴマ
ベーコン
ベージュ
ペースメーカー
ペース配分
ベートーベン
ベール
ペガサス
ベクトル
ベストセラー
へそ
へそのごま
へたのよこずき 下手の横好き
ペダル
べっこう
ベッド
ヘッドハンティング
ヘッドホン
ヘッドライト
ペテン師
ベニヤ板
へび 蛇
ベビーパウダー
ヘビー級
へら
ペラペラ
ペリカン
ヘリコプター
ぺるしゃねこ ペルシャ猫
ベルトコンベア
へんかきゅう 変化球
ペンキ
へんきゃくきげん 返却期限
ペンギン
ペンギン村
へんけい 変形
べんけい 弁慶
へんけん 偏見
べんごし 弁護士
へんじん 変人
へんそう 変装
ペンチ
べんとう 弁当
ペンネーム
ペンは剣よりも強し
ペンフレンド
ボイストレーニング
ホイッスル
ボイラー
ぼういんぼうしょく 暴飲暴食
ぼうえき 貿易
ぼうえきまさつ 貿易摩擦
ほうか 放火
ほうかい 崩壊
ぼうがいでんぱ 妨害電波
ほうがく 方角
ほうがくぶ 法学部
ほうがんし 方眼紙
ぼうきゃくきょくせん 忘却曲線
ほうげん 方言
ぼうけんか 冒険家
ほうこうにん 奉公人
ぼうし 帽子
ほうしゃせん 放射線
ぼうすいかこう 防水加工
ほうせき 宝石
ほうたい 包帯
ぼうたかとび 棒高跳び
ほうちょう 包丁
ほうでん 放電
ぼうふうけいほう 暴風警報
ぼうふざい 防腐剤
ほうぶつせん 放物線
ぼうよみ 棒読み
ほうりつ 法律
ほうりゅう 放流
ぼうりょくだん 暴力団
ほうれん草
ぽーかーふぇいす ポーカーフェイス
ポーズボタン
ボーダーライン
ボーナス
ホームラン
ボーリング
ホールインワン
ポールダンス
ボールペン
ほかんこ 保管庫
ぼくじゅう 墨汁
ボクシング
ほくとしちせい 北斗七星
ほくろ
ポケット
ポケットティッシュ
ほけんきん 保険金
ほこう 歩道
ほこうしゃてんごく 歩行者天国
ほこり
ほしうらない 星占い
ほしがき 干し柿
ほしがりませんかつまでは 欲しがりません勝つまでは
ほしくさ 干し草
ほじょりん 補助輪
ぼせいあい 母性愛
ホタル
ホタルイカ
ボタン
ボタンの掛け違い
ホチキス
ボツ
ほっきょく 北極
ほっきょくせい 北極星
ぼったくり
ホットケーキ
ホットドッグ
ホットライン
ポップコーン
ほっぺた
ポテトチップス
ポテンヒット
ほとけつくってたましいいれず 仏つくって魂入れず
ほとけのかおもさんどまで 仏の顔も三度まで
ホトトギス
ボトルキープ
ポニー
ポニーテール
ほにゅうびん 哺乳びん
ほにゅうるい 哺乳類
ほのお 炎
ポパイ
ほへい 歩兵
ぼや
ぼや
ボランティア
ほら貝
ポリゴン
ホルスタイン
ホルマリン
ホルモン
ほれいざい 保冷剤
ボロボロ
ほろ馬車
ぼんおどり 盆踊り
ぼんさい 盆栽
ほんだな 本棚
ポンチョ
ボンド
ぼんとしょうがつがいちどにくる 盆と正月が一度に来る
ほんのむし 本の虫
ポンプ
ほんぽうはつこうかい 本邦初公開
ボンボン
ほんみょう 本名
ほんや 本屋
マーガリン
まーじゃん 麻雀
マーフィーの法則
まーぼーどうふ 麻婆豆腐
マーマレード
マイク
マイクロチップ
まいご 迷子
マイナスイオン
マイナスドライバー
マイナンバー
マイブーム
マイペース
マウス
マウスピース
まえいわい 前祝い
まえがみ 前髪
まおう 魔王
まがたま 勾玉
まかない
マカロニ
まきじゃく 巻き尺
まきもどし 巻き戻し
まきゅう 魔球
マグカップ
マクベス
まくら
まくらかばー 枕カバー
まくらのそうし 枕草子
マグロ
まけっぱなし 負けっぱなし
まけるがかち 負けるが勝ち
マザーボード
まさかのてんかい まさかの展開
マザコン
まさつ 摩擦
まさつねつ 摩擦熱
まさゆめ 正夢
マシュマロ
まじょさいばん 魔女裁判
マシン語
ますい 麻酔
ますいじゅう 麻酔銃
マスク
マスコット
マスコミ
まぜるなきけん 混ぜるな危険
マゾヒスト
まちがいでんわ 間違い電話
まちこうじょう 町工場
まっきしょうじょう 末期症状
まっくす MAX
マッシュルーム
まつたけ 松茸
まったなし 待ったなし
まっちゃ 抹茶
マッチ売りの少女
マッチ棒
マッドサイエンティスト
まつばづえ 松葉杖
まっぴんぐ マッピング
まっぷたつ 真っ二つ
まつぼっくり 松ぼっくり
まつやに 松やに
まつりのあと 祭りのあと
まな板
マニキュア
マニュアル
マネーゲーム
まねきねこ 招き猫
まのやま 魔の山
マハラジャ
まぶしさ
マフラー
まほうじん 魔方陣
まほうつかい 魔法使い
まぼろし
マムシ
まめちしき 豆知識
まめまき 豆まき
まゆつばもの
まよけ 魔除け
マヨネーズ
マラソン
マリッジブルー
まるあんき 丸暗記
まるがり 丸刈り
マルコポーロ
まるた 丸太
マルチ商法
まるやき 丸焼き
まわし
まわり道
まんいんおんれい 満員御礼
まんいんでんしゃ 満員電車
まんがか 漫画家
マングローブ
まんげきょう 万華鏡
まんげつ 満月
まんざい 漫才
まんじゅう
まんてん 満点
マント
まんねんゆき 万年雪
まんばけん 万馬券
マンボウ
マンホール
マンモス
まんようしゅう 万葉集
まんりき 万力
まんるい 満塁
みいら ミイラ
みかづき 三日月
みがら 身柄
みかん
みぎうで 右腕
みぎがわつうこう 右側通行
みぎへならえ 右へならえ
みくだりはん 三くだり半
みけねこ 三毛猫
ミケランジェロ
ミサイル
みさかいない 見境ない
みずあめ 水あめ
みずかけろん 水かけ論
みずがめ座
ミスターX
みずたまもよう 水玉模様
みずたまり 水たまり
みすてりあす ミステリアス
みずびたし 水浸し
みずようかん 水ようかん
みずわり 水割り
みそ汁
みちあんない 道案内
みちすがら 道すがら
ミックスジュース
ミックスベジタブル
みつごのたましいひゃくまで 三つ子の魂百まで
みっしつさつじん 密室殺人
みつぞうしゅ 密造酒
みつどもえ
みとこうもん 水戸黄門
ミトコンドリア
みどり 緑
ミドリガメ
みなと 港
みなみじゅうしせい 南十字星
みにくいあひるのこ 醜いアヒルの子
みによんく ミニ四駆
みのしろきん 身代金
みばれ 身バレ
みみあか 耳あか
みみがくもん 耳学問
ミミズ
みみせん 耳栓
みみたぶ 耳たぶ
みみにたこ 耳にタコ
みやこおち 都落ち
ミュージカル
みらいえいごう 未来永劫
ミリグラム
みりん
ミルクセーキ
みるにみかねる 見るに見かねる
みんかんりょうほう 民間療法
みんぞくいしょう 民族衣装
みんぞくだいいどう 民族大移動
みんちょうたい 明朝体
ミント
みんなやってますよ 皆やってますよ
む 無
ムーミン
ムーンサルト
むかしばなし 昔ばなし
むかんしん 無関心
むかんのていおう 無冠の帝王
むぎわらぼうし 麦わら帽子
むき出し
むくち 無口
むげんだい 無限大
むざい 無罪
むさく 無策
むしさされ 虫さされ
むしめがね 虫メガネ
むしゃしゅぎょう 武者修行
むじゅうりょく 無重力
むじゅん 矛盾
むしよけすぷれー 虫よけスプレー
むじんとう 無人島
むすこ 息子
むすめ 娘
むちゃ振り
ムチ打ち
むねぽけっと 胸ポケット
むみかんそう 無味乾燥
むゆうびょう 夢遊病
むらさき 紫
むりすう 無理数
むりょうきかん 無料期間
めいい 名医
めいおうせい 冥王星
めいきゅういり 迷宮入り
めいし 名刺
めいしん 迷信
めいじんげい 名人芸
めいたんてい 名探偵
めいどのみやげ 冥土のみやげ
メイド喫茶
めいよきそん 名誉棄損
めいれいけいとう 命令系統
めいろ 迷路
メインゲート
めかくし 目隠し
メガネ
めぐすり 目薬
めざましどけい 目覚まし時計
めしつかい 召し使い
メダカ
めだしぼう 目出し帽
めだとうせいしん 目立とう精神
めだま 目玉
めちゃくちゃ
めつぶし 目つぶし
めとはなのさき 目と鼻の先
メトロノーム
めにはめを 目には目を
メニュー
めのうえのたんこぶ 目の上のたんこぶ
めのさっかく 目の錯覚
めはくちほどにものをいう 目は口ほどに物を言う
めびうすのわ メビウスの環
めもちょう メモ帳
めもり 目盛り
めるへん メルヘン
めろでぃー メロディー
めろん メロン
めんかい 面会
めんくりあ 面クリア
めんじょ 免除
めんせき 面積
めんつゆ
もあい モアイ
もうさいかんげんしょう 毛細管現象
もうじゅうつかい 猛獣使い
もうそう 妄想
もうちょう 盲腸
もうふ 毛布
もえかす 燃えカス
もえないごみ 燃えないごみ
もくせい 木星
もくようび 木曜日
もちつき 餅つき
もちものけんさ 持ち物検査
もっきん 木琴
もったいない
もなか
モノクロ
ものほしざお 物干し竿
ものまね
もはんえんぎ 模範演技
モヒカン
もびるすーつ モビルスーツ
もみあげ
もも 桃
ももたろう 桃太郎
もやし
もり 森
モンゴル
モンティパイソン
もんばん 門番
やえば 八重歯
やかたぶね 屋形船
やかん
やかんこうこう 夜間高校
やぎ ヤギ
やきいも 焼きいも
やぎさんゆうびん ヤギさん郵便
やきそば 焼きそば
やきとり 焼き鳥
やきにく 焼肉
やきはたのうぎょう 焼畑農業
やきゅうじょう 野球場
やきゅうぼう 野球帽
やくそう 薬草
やくどうかん 躍動感
やぐら
やけい 夜景
やけいしにみず 焼け石に水
やけど
やけのはら 焼け野原
やこうとりょう 夜光塗料
やこうれっしゃ 夜行列車
やさいいため 野菜炒め
やしのみ ヤシの実
やじり 矢じり
やじるし 矢印
やすげっきゅう 安月給
やすり
やたらめったら
やなぎ 柳
やねうら 屋根裏
やねがわら 屋根瓦
やばんじん 野蛮人
やぶいしゃ やぶ医者
やぶへび
ヤマアラシ
やまかじ 山火事
やまたのおろち ヤマタノオロチ
ヤマトタケル
ヤマネコ
やみなべ 闇鍋
やんちゃ
ゆあがり 湯あがり
ゆあつしき 油圧式
ゆいごん 遺言
ゆううつ
ゆーえすびーけーぶる USBケーブル
ゆうかい 誘拐
ゆうかく 遊郭
ゆうがた 夕方
ゆうき 勇気
ゆうこうはんい 有効範囲
ゆうざい 有罪
ゆうじゅうふだん 優柔不断
ゆうしょうけっていせん 優勝決定戦
ゆうすずみ 夕涼み
ゆうせいからのぶったいえっくす 遊星からの物体X
ゆーたーん Uターン
ゆうたいけん 優待券
ゆうだち 夕立
ゆーちゅーぶ YouTube
ゆうどうじんもん 誘導尋問
ユートピア
ゆうはん 夕飯
ゆうびんはいたつ 郵便配達
ゆうびんぽすと 郵便ポスト
ゆうめいぜい 有名税
ゆうれい 幽霊
ゆうわく 誘惑
ゆかいた 床板
ゆかいはん 愉快犯
ゆきおんな 雪女
ゆきがっせん 雪合戦
ゆきだるま 雪だるま
ゆきみざけ 雪見酒
ゆげ 湯気
ゆけつ 輸血
ゆざめ 湯冷め
ゆだんたいてき 油断大敵
ゆで卵
ゆどうふ 湯豆腐
ユニコーン
ゆびさしかくにん 指さし確認
ゆびさっく 指サック
ゆびずもう 指ずもう
ゆびわ 指輪
ゆぶね 湯船
ゆみ 弓
ゆみずのように 湯水のように
ゆめ 夢
ゆめはんだん 夢判断
ユリ
ゆるキャラ
よいざまし 酔い覚まし
よういしゅうとう 用意周到
ようがん 溶岩
ようぎしゃ 容疑者
ようこうろ 溶鉱炉
ようじがえり 幼児がえり
ようせつ 溶接
ようちえん 幼稚園
ようつう 腰痛
ようめいしゅ 養命酒
よえばようほど 酔えば酔うほど
ヨーグルト
ヨーデル
ヨーヨー
ヨガ
よげん 予言
よこじー 横G
よこづな 横綱
よこはば 横幅
よこはま 横浜
よごれ 汚れ
よごれしごと 汚れ仕事
よせん 予選
よちのうりょく 予知能力
ヨット
よていび 予定日
よにげ 夜逃げ
よねつ 余熱
よび 予備
よびりん 呼び鈴
よみがえり
よみびとしらず 詠み人知らず
よやくせき 予約席
よる 夜
よろしく
よわむし 弱虫
よんこままんが 四コマ漫画
よんせんねん 4000年
よんのじがため 4の字固め
